Timestamp	Filename	Error	Message
2013-07-17 18:14:58.535 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:58.535 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:14:58.758 -0700	Get Record Table.fmp12	0	Import of tables from clipboard started
2013-07-17 18:14:58.759 -0700	Get Record Table.fmp12	0	Table “Table 1” imported as “Table 16” since a table or table occurrence named “Table 1” already exists.
2013-07-17 18:14:58.763 -0700	Table 16	0	fields imported : 1
2013-07-17 18:14:58.763 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:58.763 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:14:58.988 -0700	Get Record Table.fmp12	0	Import of tables from clipboard started
2013-07-17 18:14:58.990 -0700	Get Record Table.fmp12	0	Table “Table 1” imported as “Table 17” since a table or table occurrence named “Table 1” already exists.
2013-07-17 18:14:58.992 -0700	Table 17	0	fields imported : 1
2013-07-17 18:14:58.992 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:58.992 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:14:59.179 -0700	Get Record Table.fmp12	0	Import of tables from clipboard started
2013-07-17 18:14:59.181 -0700	Get Record Table.fmp12	0	Table “Table 1” imported as “Table 18” since a table or table occurrence named “Table 1” already exists.
2013-07-17 18:14:59.184 -0700	Table 18	0	fields imported : 1
2013-07-17 18:14:59.184 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:59.184 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:14:59.372 -0700	Get Record Table.fmp12	0	Import of tables from clipboard started
2013-07-17 18:14:59.375 -0700	Get Record Table.fmp12	0	Table “Table 1” imported as “Table 19” since a table or table occurrence named “Table 1” already exists.
2013-07-17 18:14:59.377 -0700	Table 19	0	fields imported : 1
2013-07-17 18:14:59.377 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:59.378 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:14:59.582 -0700	Get Record Table.fmp12	0	Import of tables from clipboard started
2013-07-17 18:14:59.583 -0700	Get Record Table.fmp12	0	Table “Table 1” imported as “Table 20” since a table or table occurrence named “Table 1” already exists.
2013-07-17 18:14:59.585 -0700	Table 20	0	fields imported : 1
2013-07-17 18:14:59.586 -0700	Get Record Table.fmp12	0	tables imported : 1
2013-07-17 18:14:59.586 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:15:02.890 -0700	Get Record Table.fmp12	0	Import operations committed
2013-07-17 18:15:02.890 -0700	Get Record Table.fmp12	0	==================================================================
2013-07-17 18:18:55.388 -0700	Get Record Table.fmp12	0	Import of scripts from clipboard started
2013-07-17 18:18:55.391 -0700	Get Record Table.fmp12	0	Script “GetRecordTable ( id_record )” imported as “GetRecordTable ( id_record ) 2” since a script named “GetRecordTable ( id_record )” already exists.
2013-07-17 18:18:55.401 -0700	GetRecordTable ( id_record ) 2	0	script steps imported : 32
2013-07-17 18:18:55.402 -0700	Get Record Table.fmp12	0	scripts imported : 1
2013-07-17 18:18:55.403 -0700	Get Record Table.fmp12	0	Import completed
2013-07-17 18:25:00.919 -0700	Get Record Table.fmp12	0	Import of script steps from clipboard started
2013-07-17 18:25:00.921 -0700	GetRecordTable ( id_record ) 2	0	script steps imported : 1
2013-07-17 18:25:00.922 -0700	Get Record Table.fmp12	0	Import completed
